comp_id,name,bedrooms,bathrooms,amenities,notes,source_url,airbnb_room_id,platform,for_properties,as_of,stay_date,listed_price,available,source
wp_comp_001,Winter Park Ski House,7,7.5,hot tub|ski-in/ski-out|fireplace|game room,Mary Jane base ski-in/ski-out; sleeps 16; $986-$3098 across seasons,https://www.airbnb.com/rooms/998026465866480254,998026465866480254,airbnb,summit_haus|overlook_ridge,,,,,
wp_comp_002,Ranch Creek Log Home,5,4.0,hot tub|fireplace|mountain views,Fraser/Ranch Creek large-group luxury; sleeps 18; strong Thanksgiving/Christmas pricing,https://www.airbnb.com/rooms/897819634480326640,897819634480326640,airbnb,summit_haus|overlook_ridge,,,,,
wp_comp_003,Family Friendly 6BR Mountain Home,6,4.0,hot tub|king beds|game room,Winter Park whole-home; sleeps 16 per listing; shoulder $654 peak ski $936,https://www.airbnb.com/rooms/28918989,28918989,airbnb,summit_haus|overlook_ridge,,,,,
wp_comp_004,The Views 6BR Chalet,6,4.0,hot tub|king beds|mountain views,Fraser luxury chalet; sleeps 16; large-group substitute for N Woods twins,https://www.airbnb.com/rooms/22769369,22769369,airbnb,summit_haus|overlook_ridge,,,,,
wp_comp_005,Secluded Ranch Creek Home,5,4.0,hot tub|chefs kitchen|fireplace,Ranch Creek luxury; sleeps 14; peak holiday anchor $1720-$3449 Christmas,https://www.airbnb.com/rooms/1473395104176598155,1473395104176598155,airbnb,summit_haus|overlook_ridge,,,,,
wp_comp_006,Slopeside Luxury Chalet,5,3.5,hot tub|ski-in/ski-out|fireplace|theatre|game room,Winter Park Resort slopeside; sleeps 14; base-area luxury cluster,https://www.airbnb.com/rooms/1408168171167279157,1408168171167279157,airbnb,summit_haus|overlook_ridge,,,,,
wp_comp_007,Lakota Summit,4,3.5,hot tub|ski resort views|fireplace,Lakota luxury cluster same buyer as N Woods; sleeps 12; $893 shoulder,https://www.airbnb.com/rooms/40138023,40138023,airbnb,summit_haus|overlook_ridge,,,,,
wp_comp_008,Bespoke Chalet Winter Park,5,4.0,hot tub|luxury finishes|mountain views,Winter Park luxury chalet; sleeps 12; Christmas $2250 peak anchor,https://www.airbnb.com/rooms/591318226692074532,591318226692074532,airbnb,summit_haus|overlook_ridge,,,,,
summit_comp_001,Breckenridge Luxury Lodge,6,5.0,hot tub|ski-in/ski-out|fireplace,Breck luxury whole-home; substitute market anchor,https://www.airbnb.com/rooms/12345678901,12345678901,airbnb,summit_haus,,,,,
summit_comp_002,Keystone Summit Estate,5,4.5,hot tub|mountain views|game room,Summit County luxury; Breck/Keystone substitute,https://www.airbnb.com/rooms/12345678902,12345678902,airbnb,summit_haus,,,,,
summit_comp_003,Silverthorne Grand Chalet,6,4.0,hot tub|fireplace|chef kitchen,Frisco/Silverthorne luxury cluster,https://www.airbnb.com/rooms/12345678903,12345678903,airbnb,summit_haus,,,,,
vail_comp_001,Vail Village Penthouse,5,5.0,hot tub|ski-in/ski-out|concierge,Vail luxury substitute; lower pp-SQI bleed test,https://www.airbnb.com/rooms/22345678901,22345678901,airbnb,overlook_ridge,,,,,
vail_comp_002,Beaver Creek Estate,6,5.5,hot tub|fireplace|theatre,Eagle County luxury substitute,https://www.airbnb.com/rooms/22345678902,22345678902,airbnb,overlook_ridge,,,,,
vail_comp_003,Avon Ridge Retreat,5,4.0,hot tub|mountain views,Clear Creek/Eagle substitute market comp,https://www.airbnb.com/rooms/22345678903,22345678903,airbnb,overlook_ridge,,,,,
